STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DAPR_ATTRIBUTES,DASF,DASF_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,MDSF,MDSF_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT11,WT11_ATTRIBUTES,WT14,WT14_ATTRIBUTES
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,3/6/61,,,,,,,,,0.55,",,0",0,",,0",0,",,0",58,",,0",33,",,0",37,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,3/7/61,,,,,,,,,0,",,0",0,",,0",0,",,0",43,",,0",28,",,0",41,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,3/8/61,,,,,,,,,0.4,",,0",2.5,",,0",3,",,0",43,",,0",24,",,0",28,",,0",,,1,",,0",1,",,0",,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,3/9/61,,,,,,,,,0.05,",,0",1,",,0",3,",,0",39,",,0",25,",,0",35,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,3/10/61,,,,,,,,,0,",,0",0,",,0",2,",,0",36,",,0",15,",,0",34,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,3/11/61,,,,,,,,,0,",,0",0,",,0",1,",,0",39,",,0",30,",,0",36,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,3/12/61,,,,,,,,,0,",,0",0,",,0",0,",,0",46,",,0",24,",,0",44,",,0",1,",,0",,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,3/13/61,,,,,,,,,0.3,",,0",0,",,0",0,",,0",45,",,0",33,",,0",35,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,3/14/61,,,,,,,,,0.6,",,0",1,",,0",0,",,0",40,",,0",31,",,0",36,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,3/15/61,,,,,,,,,0,"T,,0",0,"T,,0",0,",,0",41,",,0",33,",,0",38,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,3/16/61,,,,,,,,,0,",,0",0,",,0",0,",,0",39,",,0",22,",,0",29,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,3/17/61,,,,,,,,,0,",,0",0,",,0",0,",,0",36,",,0",16,",,0",34,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,3/18/61,,,,,,,,,0,"T,,0",0,"T,,0",0,",,0",39,",,0",20,",,0",37,",,0",,,,,1,",,0",,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,3/19/61,,,,,,,,,0.15,",,0",0.5,",,0",0,",,0",47,",,0",28,",,0",45,",,0",,,,,1,",,0",,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,3/20/61,,,,,,,,,0,",,0",0,",,0",0,",,0",51,",,0",23,",,0",49,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,3/21/61,,,,,,,,,0.05,",,0",0,",,0",0,",,0",50,",,0",35,",,0",41,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,3/22/61,,,,,,,,,0.12,",,0",0,",,0",0,",,0",45,",,0",38,",,0",42,",,0",1,",,0",,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,3/23/61,,,,,,,,,0.2,",,0",0,",,0",0,",,0",44,",,0",36,",,0",39,",,0",1,",,0",,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,3/24/61,,,,,,,,,0.11,",,0",0,",,0",0,",,0",48,",,0",35,",,0",44,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,3/25/61,,,,,,,,,0,",,0",0,",,0",0,",,0",54,",,0",25,",,0",52,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,3/26/61,,,,,,,,,0,",,0",0,",,0",0,",,0",67,",,0",40,",,0",64,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,3/27/61,,,,,,,,,0.06,",,0",0,",,0",0,",,0",70,",,0",47,",,0",66,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,3/28/61,,,,,,,,,0.01,",,0",0,",,0",0,",,0",67,",,0",37,",,0",38,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,3/29/61,,,,,,,,,0,"T,,0",0,"T,,0",0,",,0",40,",,0",30,",,0",34,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,3/30/61,,,,,,,,,0,",,0",0,",,0",0,",,0",43,",,0",22,",,0",41,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,3/31/61,,,,,,,,,0,",,0",0,",,0",0,",,0",49,",,0",22,",,0",42,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/1/61,,,,,,,,,0,"T,,0",0,"T,,0",0,"T,,0",43,",,0",32,",,0",32,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/2/61,,,,,,,,,0.02,",,0",0.5,",,0",0,",,0",39,",,0",25,",,0",37,",,0",,,,,1,",,0",,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/3/61,,,,,,,,,0,",,0",0,",,0",0,",,0",40,",,0",28,",,0",36,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/4/61,,,,,,,,,0,",,0",0,",,0",0,",,0",50,",,0",32,",,0",45,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/5/61,,,,,,,,,0.06,",,0",0,",,0",0,",,0",49,",,0",32,",,0",39,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/6/61,,,,,,,,,0.1,",,0",0,",,0",0,",,0",45,",,0",34,",,0",38,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/7/61,,,,,,,,,0.01,",,0",0,",,0",0,",,0",44,",,0",30,",,0",40,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/8/61,,,,,,,,,0,",,0",0,",,0",0,",,0",44,",,0",23,",,0",39,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/9/61,,,,,,,,,0.01,",,0",0,"T,,0",0,"T,,0",40,",,0",31,",,0",34,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/10/61,,,,,,,,,0.03,",,0",1,",,0",0,",,0",43,",,0",30,",,0",41,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/11/61,,,,,,,,,0,",,0",0,",,0",0,",,0",51,",,0",27,",,0",48,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/12/61,,,,,,,,,0.08,",,0",0,",,0",0,",,0",49,",,0",35,",,0",36,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/13/61,,,,,,,,,0.1,",,0",0,",,0",0,",,0",52,",,0",35,",,0",46,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/14/61,,,,,,,,,0.01,",,0",0,",,0",0,",,0",56,",,0",30,",,0",55,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/15/61,,,,,,,,,0,"T,,0",0,",,0",0,",,0",56,",,0",42,",,0",43,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/16/61,,,,,,,,,0.96,",,0",6,",,0",6,",,0",43,",,0",28,",,0",31,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/17/61,,,,,,,,,0.65,",,0",3,",,0",6,",,0",42,",,0",29,",,0",39,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/18/61,,,,,,,,,0.02,",,0",0,",,0",2,",,0",48,",,0",31,",,0",45,",,0",1,",,0",,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/19/61,,,,,,,,,0,",,0",0,",,0",0,",,0",58,",,0",32,",,0",54,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/20/61,,,,,,,,,0,",,0",0,",,0",0,",,0",64,",,0",38,",,0",62,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/21/61,,,,,,,,,0.27,",,0",0,",,0",0,",,0",63,",,0",50,",,0",58,",,0",,,1,",,0",,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/22/61,,,,,,,,,0.15,",,0",0,",,0",0,",,0",60,",,0",45,",,0",56,",,0",,,,,,,,,,,,,,
