STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,MDSF,MDSF_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT11,WT11_ATTRIBUTES
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,2/10/00,,,,,,,0,"P,,0",0,"P,,0",,,45,",,0",31,",,0",32,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,2/11/00,,,,,,,0,"P,,0",0,"P,,0",0,"P,,0",37,",,0",28,",,0",28,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,2/12/00,,,,,,,0,"P,,0",0,"P,,0",0,"P,,0",30,",,0",11,",,0",15,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,2/13/00,,,,,,,,,0.3,",,0",,,34,",,0",14,",,0",24,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,2/14/00,,,,,,,,,1,",,0",,,28,",,0",24,",,0",26,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,2/15/00,,,,,,,0,"P,,0",0,"P,,0",,,34,",,0",22,",,0",31,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,2/16/00,,,,,,,0,"P,,0",0,"P,,0",,,43,",,0",16,",,0",29,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,2/17/00,,,,,,,0,"P,,0",0,"P,,0",,,39,",,0",18,",,0",30,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,2/18/00,,,,,,,,,1.5,",,0",,,36,",,0",15,",,0",24,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,2/19/00,,,,,,,,,4.5,",,0",,,39,",,0",16,",,0",25,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,2/20/00,,,,,,,,,0,"T,,0",,,35,",,0",26,",,0",33,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,2/21/00,,,,,,,0,"P,,0",0,"P,,0",,,35,",,0",20,",,0",30,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,2/22/00,,,,,,,0,"P,,0",0,"P,,0",,,50,",,0",30,",,0",42,",I,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,2/23/00,,,,,,,0,"P,,0",0,"P,,0",,,58,",,0",45,",I,0",55,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,2/24/00,,,,,,,0.03,",,0",0,"P,,0",0,",,0",66,",,0",49,",,0",49,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,2/25/00,,,,,,,0,"P,,0",0,"P,,0",0,"P,,0",66,",,0",39,",,0",43,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,2/26/00,,,,,,,0.29,",,0",0,"P,,0",0,"P,,0",62,",,0",44,",,0",57,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,2/27/00,,,,,,,0,"P,,0",0,"P,,0",0,"P,,0",65,",,0",40,",,0",42,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,2/28/00,,,,,,,0,"P,,0",0,"P,,0",0,"P,,0",47,",,0",34,",,0",37,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,2/29/00,,,,,,,0,"P,,0",0,"P,,0",0,"P,,0",51,",,0",46,",I,0",37,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/1/00,,,,,,,0,"P,,0",0,"P,,0",0,"P,,0",58,",,0",44,",,0",52,",,0",,,,,,,,,,,,,,
